age,sex,seatbelt_use,drunk_driving,text_driving,drink_age,drink_freq,drink_binge
17,1,4,2,6,6,4,3
17,2,5,2,6,6,4,3
17,1,4,2,7,6,4,3
17,1,5,4,7,6,4,3
17,2,4,4,8,6,4,3
17,1,5,6,8,6,4,3
17,2,5,2,4,7,4,3
17,2,5,2,8,7,4,3
17,2,5,4,3,2,5,3
17,2,1,4,8,2,5,3
17,2,4,1,1,3,5,3
17,1,4,2,3,3,5,3
17,2,4,2,3,4,5,3
17,2,5,2,4,4,5,3
17,2,5,2,5,4,5,3
17,2,1,2,7,4,5,3
17,2,3,1,1,5,5,3
17,1,5,2,3,5,5,3
17,2,5,2,4,5,5,3
17,1,5,2,6,5,5,3
17,1,5,2,2,6,5,3
17,1,5,2,3,6,5,3
17,1,4,2,7,6,5,3
17,2,5,3,8,3,6,3
17,2,3,5,8,4,6,3
17,2,5,1,1,2,3,4
17,1,1,2,2,2,3,4
17,1,5,2,2,2,3,4
17,2,3,2,2,2,3,4
17,1,4,1,1,3,3,4
17,2,4,1,1,3,3,4
17,1,4,2,2,3,3,4
17,1,5,2,3,3,3,4
17,2,5,2,3,3,3,4
17,2,4,2,8,3,3,4
17,2,2,3,8,3,3,4
17,2,3,6,8,3,3,4
17,1,4,1,1,4,3,4
17,1,4,1,1,4,3,4
17,2,4,1,1,4,3,4
17,2,4,1,1,4,3,4
17,2,5,2,2,4,3,4
17,1,4,2,3,4,3,4
17,2,3,2,5,4,3,4
17,2,3,2,6,4,3,4
17,1,4,4,6,4,3,4
17,1,5,2,7,4,3,4
17,1,2,2,8,4,3,4
17,2,5,2,8,4,3,4
17,1,5,4,8,4,3,4
17,2,1,4,8,4,3,4
17,1,4,1,1,5,3,4
17,2,4,1,1,5,3,4
17,1,4,2,2,5,3,4
17,1,4,2,2,5,3,4
17,2,4,2,2,5,3,4
17,2,5,2,2,5,3,4
17,2,5,2,3,5,3,4
17,2,5,2,3,5,3,4
17,2,5,2,3,5,3,4
17,1,5,3,3,5,3,4
17,2,2,5,3,5,3,4
17,2,5,2,5,5,3,4
17,2,3,3,5,5,3,4
17,2,2,2,6,5,3,4
17,2,3,3,6,5,3,4
17,2,5,4,6,5,3,4
17,2,5,2,7,5,3,4
17,1,4,2,8,5,3,4
17,2,4,2,8,5,3,4
17,2,3,3,8,5,3,4
17,1,5,1,1,6,3,4
17,1,3,2,2,6,3,4
17,1,4,2,2,6,3,4
17,1,5,2,2,6,3,4
17,1,5,2,2,6,3,4
17,2,4,2,2,6,3,4
17,2,5,2,2,6,3,4
17,2,5,2,2,6,3,4
17,1,2,4,2,6,3,4
17,1,4,2,3,6,3,4
17,1,5,2,3,6,3,4
17,2,5,2,3,6,3,4
17,1,4,3,3,6,3,4
17,1,4,2,4,6,3,4
17,1,4,2,5,6,3,4
17,2,5,2,5,6,3,4
17,2,5,2,6,6,3,4
17,2,5,2,6,6,3,4
17,2,3,4,6,6,3,4
17,2,4,2,7,6,3,4
17,2,5,5,7,6,3,4
17,1,3,2,8,6,3,4
17,1,4,2,8,6,3,4
17,1,5,2,8,6,3,4
17,1,5,3,8,6,3,4
17,2,3,3,8,6,3,4
17,1,2,4,8,6,3,4
17,1,3,4,8,6,3,4
17,1,4,2,2,7,3,4
17,2,3,3,7,7,3,4
17,2,3,1,1,2,4,4
17,2,5,2,2,2,4,4
17,2,5,2,2,2,4,4
17,2,2,3,2,2,4,4
17,1,3,6,2,2,4,4
17,1,2,2,4,2,4,4
17,2,4,2,7,2,4,4
17,2,3,3,8,2,4,4
17,1,5,2,2,3,4,4
17,1,4,3,2,3,4,4
17,2,5,3,2,3,4,4
17,2,1,4,7,3,4,4
17,2,5,3,8,3,4,4
17,2,3,4,8,3,4,4
17,1,2,1,1,4,4,4
17,1,5,2,2,4,4,4
17,2,4,2,2,4,4,4
17,1,3,1,1,5,4,4
17,1,5,1,1,5,4,4
17,1,5,1,1,5,4,4
17,1,4,2,2,5,4,4
17,1,5,2,2,5,4,4
17,2,5,2,2,5,4,4
17,1,4,3,2,5,4,4
17,2,5,3,2,5,4,4
17,1,4,2,3,5,4,4
17,1,4,2,3,5,4,4
17,2,5,2,3,5,4,4
17,2,5,2,3,5,4,4
17,1,2,3,3,5,4,4
17,2,2,3,3,5,4,4
17,2,5,2,4,5,4,4
17,1,5,2,5,5,4,4
17,1,3,2,6,5,4,4
17,1,5,3,6,5,4,4
17,2,1,3,6,5,4,4
17,2,5,3,7,5,4,4
17,1,5,2,8,5,4,4
17,2,5,2,8,5,4,4
17,2,5,2,8,5,4,4
17,1,4,1,1,6,4,4
17,1,4,1,1,6,4,4
17,1,4,2,2,6,4,4
17,2,3,2,2,6,4,4
17,2,5,5,2,6,4,4
17,1,5,2,3,6,4,4
17,2,5,2,3,6,4,4
17,2,5,2,3,6,4,4
17,1,4,2,4,6,4,4
17,2,4,2,4,6,4,4
17,2,5,3,4,6,4,4
17,2,4,2,5,6,4,4
17,1,5,2,6,6,4,4
17,2,1,2,6,6,4,4
17,2,5,2,6,6,4,4
17,2,5,2,6,6,4,4
17,2,5,2,6,6,4,4
17,1,3,2,7,6,4,4
17,2,5,2,7,6,4,4
17,1,4,3,7,6,4,4
17,2,2,2,8,6,4,4
17,2,2,3,7,2,5,4
17,1,3,1,1,3,5,4
17,2,2,3,8,3,5,4
17,2,5,2,2,4,5,4
17,2,3,6,3,4,5,4
17,1,5,4,6,4,5,4
17,2,2,2,7,4,5,4
17,2,4,6,7,4,5,4
17,1,3,3,8,4,5,4
17,2,3,3,2,5,5,4
17,2,5,5,2,5,5,4
17,2,5,4,3,5,5,4
17,1,2,2,4,5,5,4
17,2,5,3,4,5,5,4
17,1,5,2,6,5,5,4
17,2,5,2,7,5,5,4
17,2,3,3,8,5,5,4
17,1,4,2,5,6,5,4
17,2,2,4,6,6,5,4
17,2,1,3,8,6,5,4
17,2,1,6,8,2,6,4
17,2,4,5,6,6,6,4
17,2,5,1,1,2,7,4
17,2,4,1,1,2,4,5
17,1,4,4,2,2,4,5
17,2,2,2,6,2,4,5
17,2,5,4,6,2,4,5
17,1,5,2,7,2,4,5
17,2,1,2,8,2,4,5
17,2,5,2,8,2,4,5
17,1,4,1,1,3,4,5
17,2,1,4,5,3,4,5
17,1,5,2,8,3,4,5
17,2,5,2,8,3,4,5
17,1,4,1,1,4,4,5
17,2,1,1,1,4,4,5
17,2,5,1,1,4,4,5
17,1,3,2,2,4,4,5
17,2,4,2,2,4,4,5
17,1,5,5,2,4,4,5
17,2,5,2,3,4,4,5
17,2,1,2,7,4,4,5
17,2,4,4,7,4,4,5
17,1,3,2,8,4,4,5
17,2,2,2,8,4,4,5
17,1,4,2,2,5,4,5
17,2,4,2,2,5,4,5
17,2,5,2,2,5,4,5
17,2,5,3,2,5,4,5
17,1,5,2,3,5,4,5
17,2,2,3,3,5,4,5
17,2,4,4,3,5,4,5
17,2,2,2,4,5,4,5
17,2,5,5,4,5,4,5
17,2,3,2,5,5,4,5
17,1,3,2,6,5,4,5
17,2,5,2,6,5,4,5
17,1,5,4,6,5,4,5
17,2,5,2,7,5,4,5
17,2,3,2,8,5,4,5
17,2,3,4,8,5,4,5
17,2,4,5,8,5,4,5
17,1,5,6,8,5,4,5
17,2,4,6,8,5,4,5
17,2,5,1,1,6,4,5
17,1,3,2,2,6,4,5
17,1,4,2,2,6,4,5
17,2,3,2,2,6,4,5
17,2,5,2,2,6,4,5
17,1,4,2,3,6,4,5
17,1,5,2,4,6,4,5
17,1,5,2,5,6,4,5
17,1,5,3,5,6,4,5
17,2,3,2,6,6,4,5
17,2,4,2,6,6,4,5
17,1,4,2,8,6,4,5
17,1,5,2,8,6,4,5
17,2,2,2,8,6,4,5
17,2,4,2,8,6,4,5
17,2,3,4,8,6,4,5
17,2,5,4,8,6,4,5
17,2,1,6,8,6,4,5
17,2,2,2,2,2,5,5
17,2,4,2,2,2,5,5
17,2,3,3,2,2,5,5
17,2,3,5,4,2,5,5
17,2,4,3,6,2,5,5
17,1,2,5,8,2,5,5
17,1,4,2,8,3,5,5
17,2,2,3,8,3,5,5
17,2,3,3,2,4,5,5
17,2,4,4,3,4,5,5
17,2,4,4,7,4,5,5
17,1,1,2,8,4,5,5
17,2,5,4,8,4,5,5
17,1,3,1,1,5,5,5
17,1,3,1,1,5,5,5
17,1,3,1,1,5,5,5
17,2,5,2,2,5,5,5
17,1,4,2,3,5,5,5
17,1,5,2,6,5,5,5
17,1,5,5,7,5,5,5
17,1,5,4,8,5,5,5
17,1,5,4,8,5,5,5
17,2,5,4,8,5,5,5
17,2,1,5,8,5,5,5
17,2,3,5,8,5,5,5
17,2,4,2,2,6,5,5
17,2,5,2,2,6,5,5
17,1,5,2,6,6,5,5
17,1,2,5,8,6,5,5
17,2,3,5,8,4,6,5
17,1,4,2,2,5,6,5
17,2,5,2,2,2,7,5
17,2,2,2,2,2,5,6
17,2,5,2,8,2,5,6
17,2,2,3,2,3,5,6
17,2,1,6,2,3,5,6
17,2,1,3,6,3,5,6
17,2,4,4,6,3,5,6
17,2,3,5,7,3,5,6
17,1,4,2,2,4,5,6
17,2,5,2,2,4,5,6
17,2,4,2,3,4,5,6
17,1,3,3,8,4,5,6
17,2,4,4,8,4,5,6
17,2,5,4,8,4,5,6
17,1,3,6,8,4,5,6
17,1,3,1,1,5,5,6
17,1,2,2,2,5,5,6
17,2,4,3,2,5,5,6
17,1,3,2,3,5,5,6
17,1,4,2,8,5,5,6
17,1,4,3,8,5,5,6
17,1,3,4,8,5,5,6
17,2,1,4,8,5,5,6
17,2,5,1,1,6,5,6
17,1,4,3,2,6,5,6
17,2,2,4,3,2,6,6
17,2,5,5,7,2,6,6
17,2,2,5,3,3,6,6
17,2,3,3,8,4,6,6
17,2,3,6,4,6,6,6
17,1,3,1,1,6,7,6
17,2,3,1,1,3,6,7
17,1,2,1,1,5,6,7
17,2,3,6,6,6,6,7
17,1,2,1,1,2,7,7
17,2,3,1,1,2,7,7
17,2,2,2,6,2,7,7
17,1,5,6,8,2,7,7
17,2,1,6,8,2,7,7
17,2,1,6,8,2,7,7
17,2,1,6,8,2,7,7
17,2,1,6,8,2,7,7
17,2,1,6,8,2,7,7
17,2,1,6,8,2,7,7
17,2,4,6,8,2,7,7
17,2,4,6,8,2,7,7
17,2,5,6,8,2,7,7
17,2,5,6,8,2,7,7
17,2,1,2,8,3,7,7
17,2,2,6,8,3,7,7
17,2,1,6,2,4,7,7
17,1,1,2,8,5,7,7
17,1,3,1,1,7,7,7
17,2,5,2,2,7,7,7
18,1,2,1,1,1,1,1
18,1,2,1,1,1,1,1
18,1,2,1,1,1,1,1
18,1,3,1,1,1,1,1
18,1,3,1,1,1,1,1
18,1,3,1,1,1,1,1
18,1,3,1,1,1,1,1
18,1,3,1,1,1,1,1
18,1,3,1,1,1,1,1
18,1,3,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,4,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,1,5,1,1,1,1,1
18,2,1,1,1,1,1,1
18,2,1,1,1,1,1,1
18,2,1,1,1,1,1,1
18,2,1,1,1,1,1,1
18,2,2,1,1,1,1,1
18,2,2,1,1,1,1,1
18,2,2,1,1,1,1,1
18,2,2,1,1,1,1,1
18,2,3,1,1,1,1,1
18,2,3,1,1,1,1,1
18,2,3,1,1,1,1,1
18,2,3,1,1,1,1,1
18,2,3,1,1,1,1,1
18,2,4,1,1,1,1,1
18,2,4,1,1,1,1,1
18,2,4,1,1,1,1,1
18,2,4,1,1,1,1,1
18,2,4,1,1,1,1,1
18,2,4,1,1,1,1,1
18,2,4,1,1,1,1,1
18,2,4,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,2,5,1,1,1,1,1
18,1,1,2,2,1,1,1
18,1,1,2,2,1,1,1
18,1,3,2,2,1,1,1
18,1,3,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,4,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,1,5,2,2,1,1,1
18,2,1,2,2,1,1,1
18,2,1,2,2,1,1,1
18,2,1,2,2,1,1,1
18,2,1,2,2,1,1,1
18,2,2,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,3,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,4,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,2,5,2,2,1,1,1
18,1,4,2,3,1,1,1
18,1,4,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,1,5,2,3,1,1,1
18,2,2,2,3,1,1,1
18,2,2,2,3,1,1,1
18,2,3,2,3,1,1,1
18,2,3,2,3,1,1,1
18,2,3,2,3,1,1,1
18,2,4,2,3,1,1,1
18,2,4,2,3,1,1,1
18,2,4,2,3,1,1,1
18,2,4,2,3,1,1,1
18,2,4,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,2,5,2,3,1,1,1
18,1,1,2,4,1,1,1
18,1,1,2,4,1,1,1
18,1,4,2,4,1,1,1
18,1,5,2,4,1,1,1
18,1,5,2,4,1,1,1
18,1,5,2,4,1,1,1
18,1,5,2,4,1,1,1
18,1,5,2,4,1,1,1
18,1,5,2,4,1,1,1
18,2,2,2,4,1,1,1
18,2,2,2,4,1,1,1
18,2,3,2,4,1,1,1
18,2,3,2,4,1,1,1
18,2,4,2,4,1,1,1
18,2,4,2,4,1,1,1
18,2,4,2,4,1,1,1
18,2,4,2,4,1,1,1
18,2,5,2,4,1,1,1
18,2,5,2,4,1,1,1
18,2,5,2,4,1,1,1
18,2,5,2,4,1,1,1
18,2,5,2,4,1,1,1
18,2,5,2,4,1,1,1
18,1,4,2,5,1,1,1
18,1,5,2,5,1,1,1
18,1,5,2,5,1,1,1
18,1,5,2,5,1,1,1
18,1,5,2,5,1,1,1
18,2,2,2,5,1,1,1
18,2,2,2,5,1,1,1
18,2,4,2,5,1,1,1
18,2,4,2,5,1,1,1
18,2,4,2,5,1,1,1
18,2,4,2,5,1,1,1
18,2,5,2,5,1,1,1
18,2,5,2,5,1,1,1
18,2,5,2,5,1,1,1
18,1,5,2,6,1,1,1
18,1,5,2,6,1,1,1
18,1,5,2,6,1,1,1
18,2,4,2,6,1,1,1
18,2,5,2,6,1,1,1
18,2,5,2,6,1,1,1
18,2,5,2,6,1,1,1
18,2,5,2,6,1,1,1
18,2,5,2,6,1,1,1
18,2,5,2,6,1,1,1
18,2,5,2,6,1,1,1
18,2,5,2,6,1,1,1
18,1,5,2,7,1,1,1
18,2,4,2,7,1,1,1
18,2,5,2,7,1,1,1
18,2,5,2,7,1,1,1
18,2,5,2,7,1,1,1
18,2,5,2,7,1,1,1
18,1,3,2,8,1,1,1
18,1,3,2,8,1,1,1
18,1,3,2,8,1,1,1
18,1,4,2,8,1,1,1
18,1,4,2,8,1,1,1
18,1,5,2,8,1,1,1
18,1,5,2,8,1,1,1
18,1,5,2,8,1,1,1
18,1,5,2,8,1,1,1
18,1,5,2,8,1,1,1
18,1,5,2,8,1,1,1
18,1,5,2,8,1,1,1
18,1,5,2,8,1,1,1
18,1,5,2,8,1,1,1
18,2,2,2,8,1,1,1
18,2,4,2,8,1,1,1
18,2,4,2,8,1,1,1
18,2,4,2,8,1,1,1
18,2,5,2,8,1,1,1
18,2,5,2,8,1,1,1
18,2,5,2,8,1,1,1
18,2,5,2,8,1,1,1
18,2,5,2,8,1,1,1
18,2,5,2,8,1,1,1
18,2,5,2,8,1,1,1
18,2,5,2,8,1,1,1
18,1,4,1,1,2,1,1
18,1,5,1,1,2,1,1
18,2,5,1,1,2,1,1
18,1,4,2,2,2,1,1
18,1,5,2,2,2,1,1
18,2,1,2,2,2,1,1
18,2,1,2,2,2,1,1
18,2,4,2,2,2,1,1
18,2,4,2,2,2,1,1
18,2,4,2,2,2,1,1
18,2,5,2,2,2,1,1
18,2,5,2,2,2,1,1
18,1,3,2,3,2,1,1
18,1,5,2,3,2,1,1
18,2,5,2,3,2,1,1
18,1,4,2,4,2,1,1
18,1,5,2,4,2,1,1
18,1,5,2,4,2,1,1
18,2,5,2,4,2,1,1
18,2,5,2,5,2,1,1
18,2,5,2,7,2,1,1
18,1,5,2,8,2,1,1
18,2,3,2,8,2,1,1
18,2,3,2,8,2,1,1
18,2,3,2,8,2,1,1
18,1,5,1,1,3,1,1
18,2,2,1,1,3,1,1
18,2,5,2,2,3,1,1
18,2,5,2,2,3,1,1
18,2,5,2,2,3,1,1
18,2,3,2,3,3,1,1
18,2,3,2,4,3,1,1
18,2,5,2,4,3,1,1
18,1,5,2,5,3,1,1
18,2,3,2,6,3,1,1
18,2,5,2,8,3,1,1
18,2,5,2,8,3,1,1
18,1,4,1,1,4,1,1
18,2,4,1,1,4,1,1
18,2,4,1,1,4,1,1
18,2,5,1,1,4,1,1
18,2,5,1,1,4,1,1
